"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"11Joe's American Bar & Grill","Joe's American Bar & Grill","(617) 367-8700","https://www.yellowpages.com/boston-ma/mip/joes-american-bar-grill-1011023?lid=1011023","Restaurants,American Restaurants","http://www.joesamerican.com","15","100 Atlantic Ave","Boston","MA","02110","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"12Fire and Ice","Fire and Ice","(617) 482-3473","https://www.yellowpages.com/boston-ma/mip/fire-and-ice-7382808?lid=7382808","Restaurants,Family Style Restaurants","http://www.fire-ice.com","10","205 Berkeley St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"13Houlihan's","Houlihan's","(617) 367-6377","https://www.yellowpages.com/boston-ma/mip/houlihans-467872658?lid=467872658","Restaurants,American Restaurants","http://www.houlihans.com","","60 State St","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"141500 Oceano","1500 Oceano","(617) 227-3838","https://www.yellowpages.com/boston-ma/mip/1500-oceano-471102654?lid=471102654","Restaurants,Seafood Restaurants,Bars","http://www.marriott.com/hotel-restaurants/boslw-boston-marriott-long-wharf/waterline/71533/home-page.mi","15","296 State St","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"15Artu On Charles Street","Artu On Charles Street","(617) 227-9023","https://www.yellowpages.com/boston-ma/mip/artu-on-charles-street-3849315?lid=3849315","Restaurants,Italian Restaurants","http://artuboston.com","10","89 Charles St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"16McCormick & Schmick's Seafood & Steaks","McCormick & Schmick's Seafood & Steaks","(617) 720-5522","https://www.yellowpages.com/boston-ma/mip/mccormick-schmicks-seafood-steaks-467887008?lid=467887008","Restaurants,Seafood Restaurants","http://www.mccormickandschmicks.com/Locations/boston-massachusetts/boston-massachusetts/faneuil-hall-marketplace.aspx","8","1 Faneuil Hall Market Pl","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"17Flames Restaurant II Inc","Flames Restaurant II Inc","(617) 734-1911","https://www.yellowpages.com/boston-ma/mip/flames-restaurant-ii-inc-3289242?lid=3289242","Restaurants,Latin American Restaurants","","2","746 Huntington Ave","Boston","MA","02115","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"18Citizen Public House & Oyster Bar","Citizen Public House & Oyster Bar","(617) 450-9000","https://www.yellowpages.com/boston-ma/mip/citizen-public-house-oyster-bar-458900906?lid=458900906","Restaurants,American Restaurants","https://www.citizenpub.com","3","1310 Boylston St","Boston","MA","02215","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"19The North Star","The North Star","(617) 723-3222","https://www.yellowpages.com/boston-ma/mip/the-north-star-3217193?lid=3217193","Restaurants,American Restaurants,Pizza","http://www.northstarboston.com","","222 Friend St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"20Atlantic Fish Co","Atlantic Fish Co","(617) 267-4000","https://www.yellowpages.com/boston-ma/mip/atlantic-fish-co-8673013?lid=8673013","Restaurants,Seafood Restaurants","http://www.atlanticfishco.com","37","761 Boylston St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"21Top of the Hub","Top of the Hub","(617) 536-1775","https://www.yellowpages.com/boston-ma/mip/top-of-the-hub-465512780?lid=465512780","Restaurants,American Restaurants","http://topofthehub.net","64","800 Boylston St Fl 52","Boston","MA","02199","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"22Terramia Ristorante","Terramia Ristorante","(617) 523-3112","https://www.yellowpages.com/boston-ma/mip/terramia-ristorante-13507328?lid=13507328","Restaurants,American Restaurants","http://www.terramiaristorante.com","23","98 Salem St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"23Neptune Oyster","Neptune Oyster","(617) 742-3474","https://www.yellowpages.com/boston-ma/mip/neptune-oyster-3678122?lid=3678122","Restaurants,Seafood Restaurants","http://www.neptuneoyster.com","30","63 Salem St Apt 1","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"24Troquet","Troquet","(617) 695-9463","https://www.yellowpages.com/boston-ma/mip/troquet-22611122?lid=22611122","Restaurants,American Restaurants","http://www.troquetboston.com","19","140 Boylston St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"25Harvard Gardens","Harvard Gardens","(617) 765-0605","https://www.yellowpages.com/boston-ma/mip/harvard-gardens-22868738?lid=1001876479751","Restaurants,American Restaurants,Bars","http://harvardgardens.com/?reference_id=0&publisher=yellowpages&placement=ypwebsitesrpr&action_target=listing_website","15","316 Cambridge St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"2621st Amendment","21st Amendment","(617) 227-7100","https://www.yellowpages.com/boston-ma/mip/21st-amendment-3466595?lid=3466595","Restaurants,American Restaurants","http://www.21stboston.com","6","150 Bowdoin St","Boston","MA","02108","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"27Woody's Grill & Tap","Woody's Grill & Tap","(617) 375-9663","https://www.yellowpages.com/boston-ma/mip/woodys-grill-tap-671276?lid=671276","Restaurants,American Restaurants,Pizza","http://www.woodysboston.com","7","58 Hemenway St","Boston","MA","02115","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"28Blackjack Pasta Bar","Blackjack Pasta Bar","(617) 266-1313","https://www.yellowpages.com/boston-ma/mip/blackjack-pasta-bar-7016994?lid=7016994","Restaurants,Italian Restaurants","http://www.blackjack-pasta.com","3","52 Queensberry St","Boston","MA","02215","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"29Boston Chowda Co","Boston Chowda Co","(617) 742-4441","https://www.yellowpages.com/boston-ma/mip/boston-chowda-co-4099713?lid=4099713","Restaurants,American Restaurants","http://www.bostonchowda.com","","1 Faneuil Hall Market Pl","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
"30The Daily Catch","The Daily Catch","(617) 523-8567","https://www.yellowpages.com/boston-ma/mip/the-daily-catch-10766579?lid=10766579","Restaurants,Seafood Restaurants","http://thedailycatch.com/northend.html","12","323 Hanover St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=resturants&geo_location_terms=Boston,MA"
